price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,type,vehicle_age,price_tier
12500,2008.0,ford,excellent,6 cylinders,gas,141345.0,automatic,rwd,truck,15.0,mid
16950,2007.0,toyota,good,6 cylinders,gas,156792.0,automatic,rwd,truck,16.0,mid
22950,2014.0,ford,excellent,8 cylinders,gas,166380.0,automatic,4wd,truck,9.0,mid
12950,2011.0,honda,excellent,4 cylinders,gas,87994.0,automatic,fwd,SUV,12.0,mid
12950,2007.0,other,excellent,4 cylinders,gas,90610.0,automatic,rwd,convertible,16.0,mid
13950,2011.0,other,excellent,4 cylinders,gas,138235.0,automatic,rwd,convertible,12.0,mid
19950,2009.0,other,excellent,6 cylinders,gas,80190.0,automatic,rwd,convertible,14.0,mid
13950,2008.0,other,excellent,4 cylinders,gas,86650.0,manual,rwd,convertible,15.0,mid
10950,2009.0,other,excellent,6 cylinders,gas,191955.0,automatic,4wd,SUV,14.0,mid
13950,2006.0,other,good,8 cylinders,gas,178790.0,automatic,4wd,SUV,17.0,mid
21250,2002.0,ford,new,8 cylinders,gas,15996.0,automatic,fwd,convertible,21.0,mid
4500,2008.0,ford,,6 cylinders,gas,187016.0,automatic,rwd,coupe,15.0,budget
26990,2017.0,nissan,good,8 cylinders,gas,41335.0,other,4wd,pickup,6.0,premium
4299,2007.0,nissan,,4 cylinders,gas,189321.0,automatic,fwd,sedan,16.0,budget
32000,2008.0,chevrolet,good,8 cylinders,diesel,109600.0,automatic,4wd,truck,15.0,premium
3399,2006.0,other,,6 cylinders,gas,160218.0,automatic,fwd,sedan,17.0,budget
4000,2002.0,toyota,excellent,4 cylinders,gas,155000.0,automatic,fwd,sedan,21.0,budget
3900,2009.0,hyundai,,4 cylinders,gas,162005.0,automatic,rwd,sedan,14.0,budget
3000,2004.0,chevrolet,good,6 cylinders,gas,131500.0,automatic,4wd,SUV,19.0,budget
2500,1995.0,bmw,fair,6 cylinders,gas,110661.0,automatic,rwd,sedan,28.0,budget
12500,2008.0,gmc,excellent,8 cylinders,gas,177326.0,automatic,rwd,SUV,15.0,mid
15990,2017.0,ford,good,,hybrid,48195.0,other,fwd,wagon,6.0,mid
2500,2008.0,honda,good,6 cylinders,gas,204561.0,automatic,fwd,sedan,15.0,budget
27990,2012.0,gmc,good,8 cylinders,gas,68696.0,other,4wd,pickup,11.0,premium
10990,2011.0,other,excellent,6 cylinders,gas,119172.0,automatic,4wd,SUV,12.0,mid
3300,1999.0,other,,6 cylinders,gas,162026.0,automatic,fwd,sedan,24.0,budget
8100,2011.0,ford,excellent,6 cylinders,hybrid,140000.0,automatic,fwd,SUV,12.0,budget
3999,2003.0,other,,6 cylinders,gas,233830.0,automatic,rwd,sedan,20.0,budget
3500,1996.0,chevrolet,excellent,8 cylinders,gas,237000.0,automatic,4wd,offroad,27.0,budget
29990,2016.0,chevrolet,good,6 cylinders,gas,17302.0,other,4wd,pickup,7.0,premium
35590,2010.0,chevrolet,good,8 cylinders,gas,31879.0,other,rwd,other,13.0,premium
27998,2008.0,other,,6 cylinders,gas,69505.0,automatic,rwd,coupe,15.0,premium
6800,2004.0,other,good,6 cylinders,gas,116700.0,automatic,rwd,convertible,19.0,budget
45000,2017.0,chevrolet,excellent,8 cylinders,gas,92000.0,automatic,4wd,truck,6.0,premium
2550,2004.0,other,,6 cylinders,gas,224105.0,automatic,rwd,SUV,19.0,budget
7980,2013.0,bmw,,4 cylinders,gas,156295.0,manual,rwd,SUV,10.0,budget
9000,2008.0,other,excellent,4 cylinders,gas,56700.0,automatic,rwd,convertible,15.0,budget
5980,2005.0,other,,8 cylinders,gas,129448.0,automatic,rwd,sedan,18.0,budget
5980,2005.0,other,,6 cylinders,gas,179721.0,automatic,fwd,sedan,18.0,budget
2675,1996.0,toyota,,4 cylinders,gas,164719.0,automatic,fwd,sedan,27.0,budget
5980,2006.0,nissan,,6 cylinders,gas,178388.0,automatic,fwd,SUV,17.0,budget
6980,2011.0,other,,6 cylinders,gas,182321.0,other,rwd,SUV,12.0,budget
31990,2017.0,jeep,good,6 cylinders,gas,891.0,other,4wd,other,6.0,premium
6980,2008.0,toyota,,6 cylinders,gas,158888.0,automatic,fwd,sedan,15.0,budget
2600,2000.0,other,,6 cylinders,gas,212061.0,automatic,fwd,sedan,23.0,budget
4980,2007.0,ford,,6 cylinders,gas,178095.0,automatic,4wd,sedan,16.0,budget
32990,2017.0,jeep,good,6 cylinders,gas,30041.0,other,4wd,other,6.0,premium
5980,2010.0,gmc,,4 cylinders,gas,208359.0,manual,rwd,SUV,13.0,budget
5480,2013.0,chevrolet,,4 cylinders,gas,182711.0,automatic,fwd,SUV,10.0,budget
16990,2016.0,other,good,,gas,17631.0,other,fwd,coupe,7.0,mid
3975,2010.0,chevrolet,,4 cylinders,gas,162455.0,automatic,fwd,sedan,13.0,budget
6480,2008.0,other,,6 cylinders,gas,183858.0,automatic,rwd,SUV,15.0,budget
29998,2014.0,other,,8 cylinders,gas,57406.0,automatic,rwd,sedan,9.0,premium
12895,1991.0,chevrolet,,8 cylinders,gas,43725.0,automatic,rwd,hatchback,32.0,mid
3650,1999.0,jeep,,6 cylinders,gas,151379.0,automatic,rwd,SUV,24.0,budget
8500,2006.0,other,good,8 cylinders,gas,139445.0,automatic,4wd,SUV,17.0,budget
3299,2003.0,chevrolet,,4 cylinders,gas,176354.0,automatic,fwd,coupe,20.0,budget
4499,2005.0,toyota,,4 cylinders,gas,170687.0,automatic,fwd,sedan,18.0,budget
5940,2011.0,other,,4 cylinders,gas,163385.0,manual,rwd,wagon,12.0,budget
3999,2009.0,other,,5 cylinders,gas,182005.0,automatic,fwd,sedan,14.0,budget
4950,2001.0,toyota,,6 cylinders,gas,266000.0,automatic,rwd,SUV,22.0,budget
4980,2010.0,chevrolet,,6 cylinders,gas,208122.0,manual,rwd,SUV,13.0,budget
4400,2006.0,other,,6 cylinders,gas,124201.0,automatic,fwd,sedan,17.0,budget
8980,2010.0,dodge,,8 cylinders,gas,207260.0,automatic,rwd,sedan,13.0,budget
39590,2020.0,ford,good,8 cylinders,gas,1419.0,other,rwd,coupe,3.0,premium
21990,2018.0,other,good,,gas,4988.0,other,fwd,sedan,5.0,mid
19990,2017.0,hyundai,good,,hybrid,29254.0,manual,fwd,sedan,6.0,mid
6980,2006.0,nissan,,6 cylinders,gas,146779.0,automatic,rwd,SUV,17.0,budget
4100,2010.0,hyundai,,4 cylinders,gas,130206.0,manual,fwd,wagon,13.0,budget
7980,2015.0,other,,4 cylinders,gas,121682.0,automatic,fwd,sedan,8.0,budget
9980,2013.0,other,,6 cylinders,gas,171226.0,automatic,fwd,SUV,10.0,budget
19500,2008.0,ram,good,6 cylinders,diesel,161000.0,manual,4wd,truck,15.0,mid
2300,1997.0,other,,6 cylinders,gas,201566.0,automatic,fwd,sedan,26.0,budget
15000,2009.0,toyota,good,6 cylinders,gas,213800.0,automatic,4wd,truck,14.0,mid
14897,2012.0,jeep,,6 cylinders,gas,112510.0,other,rwd,SUV,11.0,mid
11400,2013.0,other,,4 cylinders,gas,92986.0,other,4wd,SUV,10.0,mid
10980,2012.0,ford,,6 cylinders,gas,159559.0,manual,rwd,coupe,11.0,mid
3500,1998.0,jeep,,6 cylinders,gas,273000.0,automatic,4wd,SUV,25.0,budget
8950,2011.0,ford,excellent,6 cylinders,gas,164000.0,automatic,fwd,truck,12.0,budget
50000,2019.0,toyota,like new,8 cylinders,gas,20010.0,automatic,4wd,truck,4.0,premium
3500,2009.0,hyundai,,4 cylinders,gas,111387.0,automatic,fwd,sedan,14.0,budget
7480,2012.0,other,,6 cylinders,gas,187910.0,automatic,rwd,sedan,11.0,budget
1200,2005.0,chevrolet,fair,4 cylinders,gas,256806.0,automatic,fwd,sedan,18.0,budget
8888,2005.0,nissan,excellent,6 cylinders,gas,53320.0,automatic,fwd,sedan,18.0,budget
26990,2016.0,toyota,,6 cylinders,gas,102089.0,automatic,rwd,pickup,7.0,premium
